"Station","Survey_Type","Start_Date","Survey_Start_Time","End_Date","Survey_End_Time","Segment","Seg_dist_m","Parent_Trail_LongName","Start_Date_Start_Time","End_Date_End_Time","Effort_hrs"
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","NAPO-03",157,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BARI-02",183,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TIMA-01",128,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TINA-02",509,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","TINA-01",65,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-02",69,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-03",250,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","GRFI-01",96,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-08,"8:18 PM",2025-07-08,"10:59 PM","BOTA-01",142,"Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico",2025-07-08 20:18:00,2025-07-08 22:59:00,2.68333333333333
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","TORR-01",900,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPPE-06",69,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPPE-03",88,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPIN-01",1053,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPPE-05",291,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-07,"8:26 PM",2025-07-07,"11:02 PM","FPPE-01",171,"Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter",2025-07-07 20:26:00,2025-07-07 23:02:00,2.6
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","YCHO-01",1230,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","KINK-01",321,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","NAPO-05",243,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","TUCA-01",240,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","GARZ-02",282,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-06,"8:13 PM",2025-07-06,"10:38 PM","NAPO-06",290,"Chorongo-Kinkajou-Napo-Tucan-Garza-Napo",2025-07-06 20:13:00,2025-07-06 22:38:00,2.41666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","COCA-01",301,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","CEIB-02",463,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","PERU-01",250,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","PERU-02",738,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","PERU-03",175,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","TIPU-01",141,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","PERU-04",259,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-05,"8:26 PM",2025-07-05,"11:30 PM","PERU-05",301,"Coca-Ceiba-Peru-Tiputini-Peru",2025-07-05 20:26:00,2025-07-05 23:30:00,3.06666666666667
"YRS","Night",2025-07-04,"8:21 PM",2025-07-04,"11:39 PM","FPPE-03",88,"Forest Plot Perimeter",2025-07-04 20:21:00,2025-07-04 23:39:00,3.3
"YRS","Night",2025-07-04,"8:21 PM",2025-07-04,"11:39 PM","FPPE-04",662,"Forest Plot Perimeter",2025-07-04 20:21:00,2025-07-04 23:39:00,3.3
"YRS","Night",2025-07-04,"8:21 PM",2025-07-04,"11:39 PM","FPPE-05",291,"Forest Plot Perimeter",2025-07-04 20:21:00,2025-07-04 23:39:00,3.3
"YRS","Night",2025-07-04,"8:21 PM",2025-07-04,"11:39 PM","FPPE-02",2520,"Forest Plot Perimeter",2025-07-04 20:21:00,2025-07-04 23:39:00,3.3
"TBS","Night",2025-07-02,"8:06 PM",2025-07-02,"10:53 PM","ANAC-01",388,"Anaconda-Lago",2025-07-02 20:06:00,2025-07-02 22:53:00,2.78333333333333
"TBS","Night",2025-07-02,"8:06 PM",2025-07-02,"10:53 PM","LAGO-02",1450,"Anaconda-Lago",2025-07-02 20:06:00,2025-07-02 22:53:00,2.78333333333333
"TBS","Night",2025-07-02,"8:06 PM",2025-07-02,"10:53 PM","LAGO-01",719,"Anaconda-Lago",2025-07-02 20:06:00,2025-07-02 22:53:00,2.78333333333333
"TBS","Night",2025-07-01,"8:48 PM",2025-07-01,"11:22 PM","HAPL-01",2220,"Harpia Plot-Harpia",2025-07-01 20:48:00,2025-07-01 23:22:00,2.56666666666667
"TBS","Night",2025-07-01,"8:48 PM",2025-07-01,"11:22 PM","HARP-01",483,"Harpia Plot-Harpia",2025-07-01 20:48:00,2025-07-01 23:22:00,2.56666666666667
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUMA-01",750,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-01",270,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-02",652,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-04",411,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-07",143,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-05",105,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-06",139,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-10",248,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-30,"8:12 PM",2025-06-30,"11:15 PM","PUPL-12",108,"Puma-Puma Plot",2025-06-30 20:12:00,2025-06-30 23:15:00,3.05
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","MAPO-01",53,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","MAPO-02",170,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","MANU-01",194,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","NUMA-02",268,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","CHIO-03",61,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","CHIO-02",1000,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","CHIO-01",609,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","MAPO-06",359,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-29,"8:08 PM",2025-06-29,"11:03 PM","NUMA-01",290,"Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa",2025-06-29 20:08:00,2025-06-29 23:03:00,2.91666666666667
"TBS","Night",2025-06-28,"8:17 PM",2025-06-28,"10:36 PM","GUAC-03",279,"Guacamayo-Puma-Harpia-Chorongo",2025-06-28 20:17:00,2025-06-28 22:36:00,2.31666666666667
"TBS","Night",2025-06-28,"8:17 PM",2025-06-28,"10:36 PM","PUMA-01",750,"Guacamayo-Puma-Harpia-Chorongo",2025-06-28 20:17:00,2025-06-28 22:36:00,2.31666666666667
"TBS","Night",2025-06-28,"8:17 PM",2025-06-28,"10:36 PM","PUMA-02",388,"Guacamayo-Puma-Harpia-Chorongo",2025-06-28 20:17:00,2025-06-28 22:36:00,2.31666666666667
"TBS","Night",2025-06-28,"8:17 PM",2025-06-28,"10:36 PM","HARP-05",740,"Guacamayo-Puma-Harpia-Chorongo",2025-06-28 20:17:00,2025-06-28 22:36:00,2.31666666666667
"TBS","Night",2025-06-28,"8:17 PM",2025-06-28,"10:36 PM","TCHO-01",481,"Guacamayo-Puma-Harpia-Chorongo",2025-06-28 20:17:00,2025-06-28 22:36:00,2.31666666666667
"TBS","Night",2025-06-27,"8:10 PM",2025-06-27,"10:04 PM","GUAC-01",230,"Guacamayo-Danta-Lago",2025-06-27 20:10:00,2025-06-27 22:04:00,1.9
"TBS","Night",2025-06-27,"8:10 PM",2025-06-27,"10:04 PM","GUAC-02",301,"Guacamayo-Danta-Lago",2025-06-27 20:10:00,2025-06-27 22:04:00,1.9
"TBS","Night",2025-06-27,"8:10 PM",2025-06-27,"10:04 PM","DANT-01",591,"Guacamayo-Danta-Lago",2025-06-27 20:10:00,2025-06-27 22:04:00,1.9
"TBS","Night",2025-06-27,"8:10 PM",2025-06-27,"10:04 PM","LAGO-01",719,"Guacamayo-Danta-Lago",2025-06-27 20:10:00,2025-06-27 22:04:00,1.9
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-01",53,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-02",170,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-03",388,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
