Date,Station,Survey_Type,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Time_Found,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Size,Notes,,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Lizard,LZ49,Anolidae,Anolis punctatus,Amazon Green Anole,9:43 PM,S 00º38.2511' W 076º09.5209',Jacob,79.3,85.4,4,U,Varzea,6,cloudy,no wind,,,,," The diet of A. punctatus is based primarily on grass-hoppers, ants, beetles, and roaches, but also includes at least 16 additional prey","documented instances of predation on individuals of this species by the snake Imantodes cenchoa.?,12"
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Frog,FG256,Hylidae,Osteocephalus fuscifacies,Tan-faced Spiny-backed Frog,9:58 PM,S 00º38.3013' W 076º09.4445',Therese,80.5,87.8,1.1,U,Varzea,6,cloudy,no wind,,,,,,
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Lizard,LZ50,Tropiduridae,Plica plica,Collared Treerunner,10:01 PM,S 00º38.3026' W 076º09.4371',Owen,80.5,87.8,2.8,U,Varzea,6,cloudy,no wind,,,,,"ambush predators that feed primarily on ants, but also consume various other arthropods ranging from roaches and beetles to spiders, millipedes, and scorpions.'4","documented instances of predation on individuals of this species, including by snakes and frogs"
6/4/25,TBS,Night,Anaconda-Lago,LAGO-02,"O,J,T",8:12 PM,10:32 PM,Frog,FG257,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,10:21 PM,S 00º38.3365' W 076º09.3125',Jacob,79.1,85.5,0.9,U,Varzea,6,cloudy,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Frog,FG258,Bufonidae,Rhinella margaritifera,South American Common Toad,2:24 PM,S 00º38.1676' W 076º08.9062',Owen,81.5,85.3,0,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Frog,FG259,Bufonidae,Rhinella margaritifera,South American Common Toad,2:25 PM,S 00º38.1647' W 076º08.9063',Owen,81.5,85.3,0.1,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Frog,FG260,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,2:33 PM,S 00º38.0957' W 076º08.8756',Owen,81,85.1,0.2,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Frog,FG261,Bufonidae,Rhinella margaritifera,South American Common Toad,2:35 PM,S 00º38.0930' W 076º08.8733',Jacob,80.8,86,0,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Lizard,LZ51,Teiidae,Kentropyx pelviceps,Forest Whiptail,2:47 PM,S 00º38.0258' W 076º08.9180',Jacob,78.4,92.8,0.3,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Frog,FG262,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,2:49 PM,S 00º38.0156' W 076º08.9250',Jacob,78.4,92.8,0.8,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,TCHO-02,"O,J",2:20 PM,3:57 PM,Lizard,LZ52,Teiidae,Kentropyx pelviceps,Forest Whiptail,2:55 PM,S 00º37.9844' W 076º08.9434',Owen,78.6,92.4,0,G,Terrafirme,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,MATA-01,"O,J",2:20 PM,3:57 PM,Lizard,LZ53,Teiidae,Kentropyx pelviceps,Forest Whiptail,3:39 PM,S 00º37.6361' W 076º08.9729',Owen,81.4,90,0.3,G,Varzea,12,clear,no wind,,,,,,
6/5/24,TBS,Afternoon,Chorongo-Mata Mata,MATA-01,"O,J",2:20 PM,3:57 PM,Lizard,LZ54,Teiidae,Kentropyx pelviceps,Forest Whiptail,3:39 PM,S 00º37.6342' W 076º08.9756',Owen,81.4,90,0.4,G,Varzea,12,clear,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-02,"O,J",8:08 PM,11:02 PM,Frog,FG263,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,8:18 PM,S 00º38.2180' W 076º08.8850',Jacob,74.3,94.7,0.8,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-03,"O,J",8:08 PM,11:02 PM,Frog,FG264,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,8:28 PM,S 00º38.2595' W 076º08.8438',Owen,74.7,93.7,0.1,G,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-03,"O,J",8:08 PM,11:02 PM,Salamander,SL24,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,8:34 PM,S 00º38.2511' W 076º08.8096',Owen,75.1,92.3,0.9,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-03,"O,J",8:08 PM,11:02 PM,Lizard,LZ55,Anolidae,Anolis fuscoauratus,Brown-eared Anole,8:51 PM,S 00º38.2594' W 076º08.7504',Jacob,74.8,92.4,0.3,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-03,"O,J",8:08 PM,11:02 PM,Salamander,SL25,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,8:52 PM,S 00º38.2561' W 076º08.7545',Jacob,74.8,92.4,0.8,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-03,"O,J",8:08 PM,11:02 PM,Frog,FG265,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,8:52 PM,S 00º38.2551' W 076º08.7538',Jacob,74.8,92.4,0,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MURC-01,"O,J",8:08 PM,11:02 PM,Frog,FG266,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,9:10 PM,S 00º38.2030 W 076º08.6655',Owen,78,84.9,0,G,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MURC-01,"O,J",8:08 PM,11:02 PM,Frog,FG267,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,9:16 PM,S 00º38.1629' W 076º08.6678',Owen,75.8,91.5,0.2,G,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-04,"O,J",8:08 PM,11:02 PM,Frog,FG268,Craugastoridae,Pristimantis spp.,Rain and Robber Frogs,9:51 PM,S 00º38.2875' W 076º08.7107',Owen,76.9,87.3,0.3,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-05,"O,J",8:08 PM,11:02 PM,Frog,FG269,Bufonidae,Rhinella margaritifera,South American Common Toad,10:17 PM,S 00º38.4429' W 076º08.7068',Owen,74.2,94.2,0,G,Varzea,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-06,"O,J",8:08 PM,11:02 PM,Lizard,LZ56,Hoplocercidae,Enyalioides laticeps,Broad-headed Wood Lizard,10:31 PM,S 00º38.4076' W 076º08.8427',Jacob,77.2,87.4,0,U,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-06,"O,J",8:08 PM,11:02 PM,Frog,FG270,Bufonidae,Rhinella margaritifera,South American Common Toad,10:34 PM,S 00º38.4001' W 076º08.8496',Owen,77.2,87.4,0,G,Terrafirme,6,partly cloudy,no wind,,,,,,
6/6/25,TBS,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,MAPO-06,"O,J",8:08 PM,11:02 PM,Frog,FG271,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,10:39 PM,S 00º38.4301' W 076º08.8883',Owen,78.5,85.1,0,G,Terrafirme,6,partly cloudy,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,GUAC-01,"O,J",7:59 PM,10:26 PM,Frog,FG272,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,8:03 PM,S 00º38.1353' W 076º09.0811',Owen,78.6,89,0.1,G,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,GUAC-01,"O,J",7:59 PM,10:26 PM,Frog,FG273,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,8:11 PM,S 00º38.1846' W 076º09.0362',Owen,78.9,90.3,0,G,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,GUAC-02,"O,J",7:59 PM,10:26 PM,Frog,FG274,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,8:24 PM,S 00º38.1058' W 076º09.1501',Owen,76.9,93.4,0,G,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG275,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,8:43 PM,S 00º38.1177' W 076º09.2196',Jacob,78.8,90,5.8,U,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG276,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,9:05 PM,S 00º38.2274' W 076º09.2536',Owen,78.9,87.5,0.1,U,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG277,Bufonidae,Rhinella margaritifera,South American Common Toad,9:08 PM,S 00º38.2385' W 076º09.2518',Jacob,79.1,88.5,4.7,U,Terrafirme,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG278,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,9:22 PM,S 00º38.2880' W 076º09.2469',Jacob,78.1,89.3,4.2,U,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG279,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,9:27 PM,S 00º38.3145 W 076º09.2420',Jacob,79.4,87.5,6.5,G,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,DANT-01,"O,J",7:59 PM,10:26 PM,Frog,FG280,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,9:30 PM,S 00º38.3225' W 076º09.2289',Jacob,79.3,87,4.8,U,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG281,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,9:35 PM,S 00º38.3341' W 076º09.2104',Owen,78.8,88.5,0.2,U,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG282,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,9:39 PM,S 00º38.3507' W 076º09.2255',Jacob,78.8,88.5,3.3,G,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG283,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,9:54 PM,S 00º38.3843' W 076º09.2133',Owen,79.2,87.8,2,G,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG284,Bufonidae,Rhinella marina,Cane Toad,10:04 PM,S 00º38.3645' W 076º09.1448',Owen,78.8,86.8,0.1,G,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG285,Hylidae,Dendropsophus bifurcus,Upper Amazon Tree Frog,10:25 PM,S 00º38.2685' W 076º09.0191',Owen,77,91.2,1.5,U,Varzea,30,clear,no wind,,,,,,
6/7/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J",7:59 PM,10:26 PM,Frog,FG286,Hylidae,Dendropsophus bifurcus,Upper Amazon Tree Frog,10:26 PM,S 00º38.2707' W 076º09.0191',Owen,77,91.2,1.3,U,Varzea,30,clear,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Lizard,LZ57,Anolidae,Anolis scypheus,Yellow-tongued Anole,2:01 PM,S 00º38.5167' W 076º08.5403',Owen,83.2,86.3,0,G,Varzea,42,cloudy,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG287,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,2:03 PM,S 00º38.5388' W 076º08.5282',Owen,83.2,86.3,0.3,G,Varzea,42,cloudy,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Lizard,LZ58,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,2:09 PM,S 00º38.5610' W 076º08.4910',Owen,82.5,88.4,0,G,Varzea,42,cloudy,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG288,Craugastoridae,Pristimantis spp.,Rain and Robber Frogs,2:12 PM,S 00º38.5763' W 076º08.4563',Owen,82.5,88.4,0.1,G,Varzea,42,cloudy,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG289,Leptodactylidae,Engystomops petersi,Painted Forest Toadlet,2:19 PM,S 00º38.6275' W 076º08.4094',Owen,83,89.2,0.2,G,Terrafirme,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG290,Leptodactylidae,Engystomops petersi,Painted Forest Toadlet,2:24 PM,S 00º38.6561' W 076º08.3770',Jacob,83.5,86.1,0,G,Terrafirme,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG291,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,2:29 PM,S 00º38.6936' W 076º08.3349',Owen,82.8,91.3,0,G,Varzea,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Lizard,LZ59,Anolidae,Anolis scypheus,Yellow-tongued Anole,2:35 PM,S 00º38.7349' W 076º08.2978',Owen,82.2,89.1,0,U,Varzea,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Lizard,LZ60,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,2:51 PM,S 00º38.8843' W 076º08.1903',Jacob,82.1,88,0.2,G,Varzea,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG292,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,2:53 PM,S 00º38.8904' W 076º08.2102',Jacob,82.1,88,0.2,G,Varzea,0,rain,felt on face,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG293,Bufonidae,Rhinella margaritifera,South American Common Toad,2:54 PM,S 00º38.8957' W 076º08.2184',Owen,82.1,88,0,G,Varzea,0,rain,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Lizard,LZ61,Anolidae,Anolis scypheus,Yellow-tongued Anole,3:03 PM,S 00º38.9473' W 076º08.2895',Jacob,80.9,91.2,0.2,G,Varzea,0,rain,no wind,,,,,,
6/8/25,TBS,Afternoon,Parahuaco,PARA-01,"O,J",1:47 PM,4:03 PM,Frog,FG294,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,3:30 PM,S 00º38.9165' W 076º08.5448',Jacob,80.5,92.3,0.3,G,Varzea,6,cloudy,no wind,,,,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Lizard,LZ62,Tropiduridae,Plica plica,Collared Treerunner,8:15 PM,S 00º40.7680' W 076º24.3731',Jacob,80,85.9,0.2,U,Terrafirme,18,cloudy,no wind,,,,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Frog,FG295,Leptodactylidae,Edalorhina perezi,Perez's Snouted Frog,8:54 PM,S 00º40.6056' W 076º24.4630',Owen,77.3,88.2,0,G,Varzea,18,cloudy,no wind,,,,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Lizard,LZ63,Phyllodactylidae,Thecadactylus solimoensis,Turniptail Gecko,9:09 PM,S 00º40.4929' W 076º24.4762',Jacob,77.3,89.6,0.6,U,Terrafirme,18,cloudy,no wind,,,,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Frog,FG296,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,9:18 PM,S 00º40.4362' W 076º24.4575',Jacob,80.5,88.4,0.1,U,Varzea,18,cloudy,no wind,,,,,,
6/9/25,YRS,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,J",8:15 PM,11:03 PM,Salamander,SL26,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,9:20 PM,S 00º40.4352' W 076º24.4508',Jacob,80.5,88.4,0.2,U,Varzea,18,cloudy,no wind,,,,,,
