Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/6/2025,TBS,Night,MAPO-04,8:08 PM,11:02 PM,Frog,FG268,Craugastoridae,Pristimantis spp.,Rain and Robber Frogs,Terrafirme
6/6/2025,TBS,Night,MAPO-05,8:08 PM,11:02 PM,Frog,FG269,Bufonidae,Rhinella margaritifera,South American Common Toad,Varzea
6/6/2025,TBS,Night,MAPO-06,8:08 PM,11:02 PM,Lizard,LZ56,Hoplocercidae,Enyalioides laticeps,Broad-headed Wood Lizard,Terrafirme
6/6/2025,TBS,Night,MAPO-06,8:08 PM,11:02 PM,Frog,FG270,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/6/2025,TBS,Night,MAPO-06,8:08 PM,11:02 PM,Frog,FG271,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/7/2025,TBS,Night,GUAC-01,7:59 PM,10:26 PM,Frog,FG272,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/7/2025,TBS,Night,GUAC-01,7:59 PM,10:26 PM,Frog,FG273,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,Terrafirme
6/7/2025,TBS,Night,GUAC-02,7:59 PM,10:26 PM,Frog,FG274,Craugastoridae,Oreobates quixensis,Common Big-headed Frog,Terrafirme
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG275,Hylidae,Osteocephalus taurinus,Manaus Spiny-backed Treefrog,Terrafirme
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG276,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG277,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG278,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG279,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,Varzea
6/7/2025,TBS,Night,DANT-01,7:59 PM,10:26 PM,Frog,FG280,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG281,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Varzea
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG282,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,Varzea
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG283,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,Varzea
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG284,Bufonidae,Rhinella marina,Cane Toad,Varzea
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG285,Hylidae,Dendropsophus bifurcus,Upper Amazon Tree Frog,Varzea
